field_name,type,configuration
条目名称,text,
条目ID,text,
所属配方ID,text,
用途,tag,
物品ID,text,
数量,number,number_format:number
备注,text,
Notion来源,hyperlink,

view_name,layout,filters,sorts,hidden_fields,is_default,is_current
全部明细,table,,,,true,true

_id,条目名称,条目ID,所属配方ID,用途,物品ID,数量,备注,Notion来源
1,回气丹｜凝气草,recipe_pill_basic:input:herb,recipe_pill_basic,原料,herb,1,,https://app.notion.com/p/3d5533012698811481dcffe2ffb23ff2
2,回气丹｜灵露,recipe_pill_basic:input:dew,recipe_pill_basic,原料,dew,1,,https://app.notion.com/p/3d5533012698819f9a13eab80b9499cc
3,回气丹｜产物,recipe_pill_basic:output:pill,recipe_pill_basic,产物,pill,1,,https://app.notion.com/p/3d5533012698818fbf5aed28e908cac7
4,金罡丹｜金凝草,recipe_pill_metal_guard:input:mat_metal_herb,recipe_pill_metal_guard,原料,mat_metal_herb,1,候选配方；待验收。,
5,金罡丹｜金罡木,recipe_pill_metal_guard:input:mat_metal_wood,recipe_pill_metal_guard,原料,mat_metal_wood,1,候选配方；待验收。,
6,金罡丹｜金灵果,recipe_pill_metal_guard:input:mat_metal_fruit,recipe_pill_metal_guard,原料,mat_metal_fruit,1,候选配方；待验收。,
7,金罡丹｜下品灵石,recipe_pill_metal_guard:input:stone_low,recipe_pill_metal_guard,原料,stone_low,1,2026-09-09按用户确认的灵石ID修订；保留原料数量与配方身份；待验收。,
8,金罡丹｜产物,recipe_pill_metal_guard:output:pill_metal_guard,recipe_pill_metal_guard,产物,pill_metal_guard,1,候选配方；待验收。,
9,水灵丹｜水凝草,recipe_pill_water_spirit:input:mat_water_herb,recipe_pill_water_spirit,原料,mat_water_herb,1,候选配方；待验收。,
10,水灵丹｜水灵木,recipe_pill_water_spirit:input:mat_water_wood,recipe_pill_water_spirit,原料,mat_water_wood,1,候选配方；待验收。,
11,水灵丹｜水灵果,recipe_pill_water_spirit:input:mat_water_fruit,recipe_pill_water_spirit,原料,mat_water_fruit,1,候选配方；待验收。,
12,水灵丹｜下品灵石,recipe_pill_water_spirit:input:stone_low,recipe_pill_water_spirit,原料,stone_low,1,2026-09-09按用户确认的灵石ID修订；保留原料数量与配方身份；待验收。,
13,水灵丹｜产物,recipe_pill_water_spirit:output:pill_water_spirit,recipe_pill_water_spirit,产物,pill_water_spirit,1,候选配方；待验收。,
14,赤阳丹｜赤炎草,recipe_pill_fire_yang:input:mat_fire_herb,recipe_pill_fire_yang,原料,mat_fire_herb,1,候选配方；待验收。,
15,赤阳丹｜赤焰木,recipe_pill_fire_yang:input:mat_fire_wood,recipe_pill_fire_yang,原料,mat_fire_wood,1,候选配方；待验收。,
16,赤阳丹｜火灵果,recipe_pill_fire_yang:input:mat_fire_fruit,recipe_pill_fire_yang,原料,mat_fire_fruit,1,候选配方；待验收。,
17,赤阳丹｜下品灵石,recipe_pill_fire_yang:input:stone_low,recipe_pill_fire_yang,原料,stone_low,1,2026-09-09按用户确认的灵石ID修订；保留原料数量与配方身份；待验收。,
18,赤阳丹｜产物,recipe_pill_fire_yang:output:pill_fire_yang,recipe_pill_fire_yang,产物,pill_fire_yang,1,候选配方；待验收。,
19,厚土丹｜厚土草,recipe_pill_earth_guard:input:mat_earth_herb,recipe_pill_earth_guard,原料,mat_earth_herb,1,候选配方；待验收。,
20,厚土丹｜玄土木,recipe_pill_earth_guard:input:mat_earth_wood,recipe_pill_earth_guard,原料,mat_earth_wood,1,候选配方；待验收。,
21,厚土丹｜地元果,recipe_pill_earth_guard:input:mat_earth_fruit,recipe_pill_earth_guard,原料,mat_earth_fruit,1,候选配方；待验收。,
22,厚土丹｜下品灵石,recipe_pill_earth_guard:input:stone_low,recipe_pill_earth_guard,原料,stone_low,1,2026-09-09按用户确认的灵石ID修订；保留原料数量与配方身份；待验收。,
23,厚土丹｜产物,recipe_pill_earth_guard:output:pill_earth_guard,recipe_pill_earth_guard,产物,pill_earth_guard,1,候选配方；待验收。,
24,金水凝元丹｜金凝草,recipe_pill_metal_water:input:mat_metal_herb,recipe_pill_metal_water,原料,mat_metal_herb,1,候选复合配方；待验收。,
25,金水凝元丹｜水凝草,recipe_pill_metal_water:input:mat_water_herb,recipe_pill_metal_water,原料,mat_water_herb,1,候选复合配方；待验收。,
26,金水凝元丹｜金灵果,recipe_pill_metal_water:input:mat_metal_fruit,recipe_pill_metal_water,原料,mat_metal_fruit,1,候选复合配方；待验收。,
27,金水凝元丹｜水灵果,recipe_pill_metal_water:input:mat_water_fruit,recipe_pill_metal_water,原料,mat_water_fruit,1,候选复合配方；待验收。,
28,金水凝元丹｜灵露,recipe_pill_metal_water:input:dew,recipe_pill_metal_water,原料,dew,1,沿用现有灵露物品；待验收。,
29,金水凝元丹｜产物,recipe_pill_metal_water:output:pill_metal_water,recipe_pill_metal_water,产物,pill_metal_water,1,候选复合配方；待验收。,
30,四象归元丹｜金罡丹,recipe_pill_four_aspects:input:pill_metal_guard,recipe_pill_four_aspects,原料,pill_metal_guard,1,候选复合配方；待验收。,
31,四象归元丹｜水灵丹,recipe_pill_four_aspects:input:pill_water_spirit,recipe_pill_four_aspects,原料,pill_water_spirit,1,候选复合配方；待验收。,
32,四象归元丹｜赤阳丹,recipe_pill_four_aspects:input:pill_fire_yang,recipe_pill_four_aspects,原料,pill_fire_yang,1,候选复合配方；待验收。,
