field_name,type,configuration
物品名称,text,
物品ID,text,
类别,tag,
基础价值,number,number_format:number
格子坐标,text,
形状草图,text,
描述,text,
显示颜色,text,
可供货,tag,
业务招牌,tag,
吸引卖家类别,tag,
物品标签,text,
资源路径,text,
数据状态,tag,
修改说明,text,
来源提交,text,
最近同步提交,text,
Notion来源,hyperlink,
属性,tag,
材料形态,tag,
灵石种类,tag,
品阶,tag,
储存宽度,number,number_format:number
储存高度,number,number_format:number

view_name,layout,filters,sorts,hidden_fields,is_default,is_current
全部物品,table,,,,true,true

_id,物品名称,物品ID,类别,基础价值,格子坐标,形状草图,描述,显示颜色,可供货,业务招牌,吸引卖家类别,物品标签,资源路径,数据状态,修改说明,来源提交,最近同步提交,Notion来源,属性,材料形态,灵石种类,品阶,储存宽度,储存高度
1,凝气草,herb,Material,3,"0,0; 0,1; 1,1",#.\n##,炼丹原料 · L 形。与灵露炼成回气丹。,"0.36,0.72,0.51,1",是,否,,,,已生效,v3基线导入；未提出新修改。,a8653361296a8f122ccedb700bcb86ec34568107,,https://app.notion.com/p/3d5533012698814c8fb3fb05bc6d550c,,草药,,,,
2,灵露,dew,Material,2,"0,0",#,炼丹原料 · 单格。收购招牌带来稳定供货。,"0.36,0.67,0.88,1",是,否,,,,已生效,v3基线导入；未提出新修改。,a8653361296a8f122ccedb700bcb86ec34568107,,https://app.notion.com/p/3d553301269881aa8773ef09ec8bfd02,,,,,,
3,回气丹,pill,Medicine,18,"0,0; 1,0; 0,1; 1,1",##\n##,炼丹成品 · 2×2 丹盒。以凝气草和灵露炼制，成交时按有效标签报价。,"0.93,0.68,0.31,1",是,否,,,,已生效,v3基线导入；基础价值18，默认零售报价由价格规则计算。,a8653361296a8f122ccedb700bcb86ec34568107,,https://app.notion.com/p/3d5533012698818bad6eeee0a6fd6b86,,,,,,
4,朱砂,cinnabar,Material,6,"0,0; 1,0; 2,0; 1,1",###\n.#.,不规则试摆物 · T 形，旋转会改变占格。,"0.83,0.42,0.39,1",是,否,,,,已生效,v3基线导入；未提出新修改。,a8653361296a8f122ccedb700bcb86ec34568107,,https://app.notion.com/p/3d5533012698810697e8c27929d7a1b0,,,,,,
5,玉匣,jade,StorageContainer,14,"0,0; 1,0; 2,0; 0,1; 1,1; 2,1; 0,2; 1,2; 2,2",###\n###\n###,物品储存类玉匣；外部3×3占9格。只能放在仓库，点击打开可拖动的有限格子储存弹窗；内部尺寸待定。v3二级储存功能尚未实现。,"0.56,0.71,0.69,1",是,否,,,,草稿,2026-09-09补充储存弹窗与根层放置规则；内部宽高待定；保留原ID、价值及历史来源；未同步Unity。,a8653361296a8f122ccedb700bcb86ec34568107,,https://app.notion.com/p/3d55330126988191976bf5fa1597bf13,,,,,,
6,木剑,sword,Equipment,10,"0,0; 0,1; 0,2; 0,3",#\n#\n#\n#,长条试摆物 · 四格，竖放或横放。,"0.69,0.55,0.37,1",是,否,,,,已生效,v3基线导入；未提出新修改。,a8653361296a8f122ccedb700bcb86ec34568107,,https://app.notion.com/p/3d5533012698811ca3fbd06366310ea9,,,,,,
7,收购牌,sign,BusinessSign,0,"0,0; 1,0; 1,1",##\n.#,材料广告牌 · 开门时提高卖家概率，并吸引出售材料的卖家；每日总客流仍为 5 位。不可出售。,"0.65,0.56,0.83,1",否,是,Material,,,已生效,v3基线导入；业务招牌不可出售。,a8653361296a8f122ccedb700bcb86ec34568107,,https://app.notion.com/p/3d553301269881cbb00bc648b6a61954,,,,,,
8,下品灵石,stone_low,下品灵石,1,"0,0",#,通用下品灵石；满额1灵石等价灵气；耗尽粉碎。实体灵石与卡内余额分开管理。,"0.65,0.76,0.83,1",是,否,,,,草稿,2026-09-09用户确认灵石ID去掉common：stone_common_low→stone_low；保留原物品行及其他数据；待验收，未同步Unity。,,,,,,通用灵石,下品,,
9,中品灵石,stone_mid,中品灵石,,,,通用中品灵石；满额100灵石等价灵气；可复用且耗尽保留空壳。基础价值随剩余灵气变化，容器价格待定。,"0.65,0.76,0.83,1",是,否,,,,草稿,2026-09-09用户确认灵石ID去掉common：stone_common_mid→stone_mid；保留原物品行及其他数据；待验收，未同步Unity。,,,,,,通用灵石,中品,,
10,上品灵石,stone_high,上品灵石,,,,通用上品灵石；满额10000灵石等价灵气；可复用且耗尽保留空壳。基础价值随剩余灵气变化，容器价格待定。,"0.65,0.76,0.83,1",是,否,,,,草稿,2026-09-09用户确认灵石ID去掉common：stone_common_high→stone_high；保留原物品行及其他数据；待验收，未同步Unity。,,,,,,通用灵石,上品,,
